Strain,dnaK_similarity,dnaK_coded,recA_similarity,recA_coded,ITS_similarity,ITS_coded,glnII_similarity,glnII_coded,nifD_similarity,nifD_coded,nodA_similarity,nodA_coded,nodL_similarity,nodL_coded,nodZ_similarity,nodZ_coded,Source,Site,Latitude,Longitude,Host,Rhizobial_lineage,ANI_species
09LoS42_1,09LoS42_1,K13,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,09LoS42_1,D93,19AcGLB10.1.1,A1,09LoS42_1,L77,09LoS42_1,Z63,Hollowell,Motte Rimrock Reserve,33.805167,-117.257533,A. strigosus,Bradyrhizobium,
11LoS6_2,11LoS6_2,K14,19AcS397Asp.3.1,R1,11LoS6_2,I50,11LoS6_2,G27,11LoS6_2,D94,11LoS6_2,A116,11LoS6_2,L78,11LoS6_2,Z64,Hollowell,San Dimas Reservoir,34.163833,-117.76915,A. strigosus,Bradyrhizobium,
19AcS295.1.1,11LoS6_2,K14,19AcS295.1.1,R65,19AcS295.1.1,I51,11LoS6_2,G27,11LoS22_3,D95,19AcS295.1.1,A117,11LoS6_2,L78,19AcS295.1.1,Z65,Genomes,Santa Cruz Island,33.99984,-119.71508,A. strigosus,Bradyrhizobium,15
11LoS10_2,11LoS10_2,K15,05LoS16_2,R23,11LoS23_10,I3,11LoS6_3,G1,12LoS5_2,D4,11LoS10_2,A118,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,San Dimas Reservoir,34.163817,-117.769083,A. strigosus,Bradyrhizobium,
11LoS11_1,11LoS11_1,K16,09LoS35_3,R17,11LoS11_1,I52,11LoS11_1,G28,11LoS11_1,D96,12LoS16_1,A94,11LoS11_1,L79,11LoS11_1,Z66,Hollowell,San Dimas Reservoir,34.163817,-117.769083,A. strigosus,Bradyrhizobium,
11LoS11_2,11LoS11_2,K17,09LoS35_3,R17,11LoS25_1,I31,11LoS11_2,G18,11LoS11_2,D97,11LoS11_2,A95,19AcGR302.5.1,L63,11LoS11_2,Z45,Hollowell,San Dimas Reservoir,34.163817,-117.769083,A. strigosus,Bradyrhizobium,
05LoS8_1,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS1_8,D98,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Bodega Marine Reserve,38.3193,-123.063667,A. strigosus,Bradyrhizobium,
05LoS11_14,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS16_2,D53,19AcS398Asp.1.1,A2,05LoS22_6,L4,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.3193,-123.063667,A. strigosus,Bradyrhizobium,
05LoS11_15,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS16_2,D53,19AcS398Asp.1.1,A2,05LoS22_6,L4,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.3193,-123.063667,A. strigosus,Bradyrhizobium,
05LoS1_8,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS1_8,D98,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Bodega Marine Reserve,38.3193,-123.063733,A. strigosus,Bradyrhizobium,
05LoS21_3,05LoS8_1,K18,05LoS16_2,R23,11LoS24_1,I1,11LoS6_3,G1,05LoS21_3,D99,05LoS16_9,A14,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS24_1,05LoS8_1,K18,05LoS24_1,R66,11LoS24_1,I1,11LoS6_3,G1,23,D16,19AcARN282.3.1,A21,05LoS24_1,L80,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS24_2,05LoS8_1,K18,05LoS24_2,R67,11LoS24_1,I1,11LoS6_3,G1,23,D16,19AcARN282.3.1,A21,05LoS24_1,L80,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS24_3,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,23,D16,19AcARN282.3.1,A21,05LoS24_1,L80,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS24_6,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,23,D16,19AcARN282.3.1,A21,05LoS24_1,L80,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS25_1,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,23,D16,19AcARN282.3.1,A21,05LoS24_1,L80,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS25_3,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,23,D16,19AcARN282.3.1,A21,05LoS24_1,L80,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS25_5,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,23,D16,19AcARN282.3.1,A21,05LoS24_1,L80,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS25_7,05LoS8_1,K18,05LoS25_7,R26,11LoS24_1,I1,11LoS6_3,G1,23,D16,19AcARN282.3.1,A21,05LoS24_1,L80,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS25_8,05LoS8_1,K18,05LoS25_7,R26,11LoS24_1,I1,11LoS6_3,G1,23,D16,19AcARN282.3.1,A21,05LoS24_1,L80,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS25_9,05LoS8_1,K18,05LoS25_9,R68,11LoS24_1,I1,11LoS6_3,G1,23,D16,19AcARN282.3.1,A21,05LoS24_1,L80,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS25_10,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,23,D16,19AcARN282.3.1,A21,05LoS24_1,L80,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
12LoS14_2,05LoS8_1,K18,05LoS3_3,R4,12LoS14_2,I53,12LoS14_2,G29,11LoS34_5,D8,12LoS18_1,A9,05LoS16_12,L7,11LoS7_2,Z1,Hollowell,Robert J. Bernard Biological Field Station,34.11056,-117.70906,A. strigosus,Bradyrhizobium,
05LoS11_1,05LoS11_1,K19,05LoS11_1,R69,11LoS24_1,I1,11LoS6_3,G1,05LoS20_8,D100,19AcGLB10.1.1,A1,05LoS20_8,L8,11LoS7_2,Z1,Hollowell,Bodega Marine Reserve,38.3193,-123.063667,A. strigosus,Bradyrhizobium,
11LoS18_5,05LoS11_1,K19,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,11LoS18_5,D101,12LoS18_1,A9,19AcS312.3.1,L13,11LoS7_2,Z1,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
05LoS20_8,05LoS11_1,K19,05LoS16_2,R23,11LoS24_1,I1,11LoS6_3,G1,05LoS20_8,D100,19AcGLB10.1.1,A1,05LoS20_8,L8,11LoS7_2,Z1,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS22_13,05LoS11_1,K19,05LoS22_13,R9,11LoS24_1,I1,11LoS6_3,G1,05LoS20_8,D100,19AcGLB10.1.1,A1,05LoS20_8,L8,11LoS7_2,Z1,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS22_10,05LoS11_1,K19,05LoS3_3,R4,11LoS24_1,I1,11LoS6_3,G1,05LoS20_8,D100,19AcGLB10.1.1,A1,05LoS20_8,L8,11LoS7_2,Z1,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
12LoS19_2,05LoS11_1,K19,05LoS2_3,R14,12LoS19_2,I54,11LoS6_3,G1,12LoS9_1,D20,12LoS19_2,A119,12LoS19_2,L81,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.11056,-117.70841,A. strigosus,Bradyrhizobium,
05LoS11_5,05LoS11_5,K20,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS16_2,D53,19AcS398Asp.1.1,A2,05LoS22_6,L4,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.3193,-123.063667,A. strigosus,Bradyrhizobium,
05LoS14_1,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS14_1,D102,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS14_2,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS14_3,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS18_1,Z11,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS14_7,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,05LoS14_7,Z67,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS14_8,05LoS14_1,K21,05LoS14_8,R70,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS14_9,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS14_12,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS14_13,05LoS14_1,K21,05LoS14_13,R71,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS14_14,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS14_15,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_2,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_6,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_13,05LoS14_1,K21,05LoS16_13,R72,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_15,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
