Strain,dnaK_similarity,dnaK_coded,recA_similarity,recA_coded,ITS_similarity,ITS_coded,glnII_similarity,glnII_coded,nifD_similarity,nifD_coded,nodA_similarity,nodA_coded,nodL_similarity,nodL_coded,nodZ_similarity,nodZ_coded,Source,Site,Latitude,Longitude,Host,Rhizobial_lineage,ANI_species
11LoS15_2,19AcHe316.1.1,K1,11LoS15_2,R20,11LoS24_1,I1,11LoS6_3,G1,11LoS15_2,D25,11LoS15_1,A24,05LoS20_8,L8,11LoS15_2,Z4,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS17_2,19AcHe316.1.1,K1,05LoS22_12,R21,11LoS24_1,I1,11LoS6_3,G1,11LoS17_2,D41,19AcS398Asp.1.1,A2,11LoS17_2,L24,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS17_3,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS15_2,D12,11LoS17_3,A16,11LoS17_3,L25,11LoS17_3,Z17,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS17_4,19AcHe316.1.1,K1,11LoS17_4,R22,12LoS5_1,I4,11LoS6_3,G1,11LoS17_4,D42,12LoS18_1,A9,19AcS312.3.1,L13,11LoS7_2,Z1,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
05LoS7_9,19AcHe316.1.1,K1,05LoS7_9,R3,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Bodega Marine Reserve,38.3193,-123.063667,A. strigosus,Bradyrhizobium,
05LoS8_7,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS8_7,A47,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Bodega Marine Reserve,38.3193,-123.063667,A. strigosus,Bradyrhizobium,
05LoS13_4,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS21_1,A28,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.3193,-123.063667,A. strigosus,Bradyrhizobium,
05LoS13_5,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,Bodega Marine Reserve,38.3193,-123.063667,A. strigosus,Bradyrhizobium,
05LoS13_8,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,Bodega Marine Reserve,38.3193,-123.063667,A. strigosus,Bradyrhizobium,
05LoS14_10,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS23_1,D26,11LoS8_1,A8,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_7,19AcHe316.1.1,K1,05LoS16_2,R23,11LoS24_1,I1,11LoS6_3,G1,05LoS16_7,D17,05LoS16_7,A48,05LoS16_7,L11,05LoS3_1,Z8,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_9,19AcHe316.1.1,K1,05LoS16_9,R24,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_10,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS16_10,D43,05LoS16_10,A15,05LoS16_7,L11,05LoS3_1,Z8,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_11,19AcHe316.1.1,K1,05LoS16_2,R23,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_12,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_12,L7,19AcS142.2.1,Z6,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_14,19AcHe316.1.1,K1,05LoS16_2,R23,11LoS24_1,I1,11LoS6_3,G1,05LoS16_14,D44,12LoS18_1,A9,05LoS16_14,L26,19AcS142.2.1,Z6,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_17,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,12LoS18_1,A9,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_18,19AcHe316.1.1,K1,05LoS16_18,R25,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS20_1,19AcHe316.1.1,K1,05LoS16_2,R23,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS20_2,19AcHe316.1.1,K1,05LoS20_2,R5,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS20_3,19AcHe316.1.1,K1,05LoS16_2,R23,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS20_5,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,19AcS398Asp.1.1,A2,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS20_6,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
05LoS21R6_43,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Genomes,Bodega Marine Reserve,38.318611,-123.062222,A. strigosus,Bradyrhizobium,24
19AcAm127A.1.1,19AcHe316.1.1,K1,05LoS3_3,R4,11LoS24_1,I1,11LoS6_3,G1,19AcAm42.7.1,D13,19AcAm40.6.1,A11,19AcAm127A.2.1,L9,19AcAm43.3.1,Z7,Genomes,Hastings Reserve,36.38798601,-121.550234,A. americanus,Bradyrhizobium,24
19AcS181.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,19AcS181.3.1,A26,05LoS16_12,L7,11LoS7_2,Z1,Genomes,Big Creek Reserve,36.06592999,-121.561143,A. strigosus,Bradyrhizobium,24
19AcS183.2.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,Big Creek Reserve,36.06592999,-121.561143,A. strigosus,Bradyrhizobium,24
19AcD266.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS398sp.3.1,A49,19AcS398sp.3.1,L27,11LoS7_2,Z1,Genomes,Santa Cruz Island,34.01141,-119.68967,A. dendroideus var. dendroideus,Bradyrhizobium,24
19AcS182.1.1,19AcHe316.1.1,K1,05LoS7_9,R3,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,12LoS18_1,A9,05LoS16_8,L1,19AcS182.1.1,Z18,Genomes,Big Creek Reserve,36.06592999,-121.561143,A. strigosus,Bradyrhizobium,24
19AcGLB198.1.2,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS15_2,D12,12LoS18_1,A9,05LoS20_8,L8,11LoS7_2,Z1,Genomes,Big Creek Reserve,36.05393,-121.54079,A. glaber,Bradyrhizobium,24
19AcS311.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,09LoS40_10,D7,19AcS311.1.1,A50,19AcS311.1.1,L28,11LoS18_1,Z11,Genomes,Santa Cruz Island,34.00609,-119.70272,A. strigosus,Bradyrhizobium,24
19AcS142.2.1,19AcHe316.1.1,K1,05LoS20_2,R5,19AcS142.2.1,I13,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Genomes,Hastings Reserve,36.38950003,-121.551218,A. strigosus,Bradyrhizobium,24
19AcS121.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS15_2,D12,19AcS307.1.1,A23,05LoS22_6,L4,11LoS7_3,Z16,Genomes,Hastings Reserve,36.38952803,-121.551242,A. strigosus,Bradyrhizobium,24
19AcAm205.2.1,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,19AcPa178.2.1,D6,19AcAm211.5.1,A51,19AcAm211.5.1,L29,19AcAm43.3.1,Z7,Genomes,Sedgwick,34.69808897,-120.050645,A. americanus,Bradyrhizobium,24
19AcAm206.2.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcAm42.7.1,D13,19AcAm40.6.1,A11,19AcAm211.5.1,L29,19AcAm43.3.1,Z7,Genomes,Sedgwick,34.68866201,-120.045171,A. americanus,Bradyrhizobium,24
19AcS5.2.1,19AcHe316.1.1,K1,05LoS3_3,R4,11LoS24_1,I1,11LoS6_3,G1,19AcS5.2.1,D3,19AcS5.2.1,A52,19AcS5.2.1,L30,11LoS7_2,Z1,Genomes,Griffith Park,34.121964,-118.30892,A. strigosus,Bradyrhizobium,24
19AcNV334.1.1,19AcHe316.1.1,K1,05LoS7_9,R3,19AcNV334.1.1,I14,11LoS6_3,G1,19AcNV334.1.1,D45,19AcNV334.1.1,A53,19AcNV334.1.1,L31,11LoS6_3,Z3,Genomes,San Gorgonio Mountains,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,24
05LoS1_4,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS21_1,A28,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.3193,-123.063733,A. strigosus,Bradyrhizobium,
CW7,19AcHe316.1.1,K1,05LoS3_3,R4,11LoS24_1,I1,11LoS6_3,G1,CW7,D46,12LoS18_1,A9,CW7,L32,11LoS7_2,Z1,Genomes,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,24
11LoS13_1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcGLB10.1.1,A1,19AcS312.3.1,L13,11LoS7_2,Z1,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
19AcS307.1.1,19AcHe316.1.1,K1,05LoS20_2,R5,11LoS24_1,I1,11LoS6_3,G1,12LoS15_2,D12,19AcS307.1.1,A23,05LoS22_6,L4,11LoS7_3,Z16,Genomes,Santa Cruz Island,34.00555,-119.70445,A. strigosus,Bradyrhizobium,24
19AcPa151.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,19AcPa151.1.1,D47,19AcPa144.1.1,A54,19AcAm129.2.1,L33,19AcPa284.3.1,Z10,Genomes,Hastings Reserve,36.37880799,-121.563181,A. parviflorus,Bradyrhizobium,24
19AcAm127A.2.1,19AcHe316.1.1,K1,05LoS3_3,R4,11LoS24_1,I1,11LoS6_3,G1,19AcAm42.7.1,D13,19AcAm40.6.1,A11,19AcAm127A.2.1,L9,19AcAm43.3.1,Z7,Genomes,Hastings Reserve,36.38798601,-121.550234,A. americanus,Bradyrhizobium,24
19AcAm211.5.1,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,19AcPa178.2.1,D6,19AcAm211.5.1,A51,19AcAm211.5.1,L29,19AcAm43.3.1,Z7,Genomes,Sedgwick,34.68861398,-120.045202,A. americanus,Bradyrhizobium,24
19AcHe317.2.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,11LoS8_1,A8,05LoS16_8,L1,11LoS6_3,Z3,Genomes,San Dimas Canyon,34.16513102,-117.768993,A. heermannii,Bradyrhizobium,24
19AcS180A.1.1,19AcHe316.1.1,K1,05LoS7_9,R3,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,12LoS18_1,A9,05LoS16_8,L1,19AcS182.1.1,Z18,Genomes,Big Creek Reserve,36.06599797,-121.561287,A. strigosus,Bradyrhizobium,24
19AcAm128.2.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcAm40.6.1,D22,19AcAm40.6.1,A11,19AcAm129.3.1,L10,19AcAm43.3.1,Z7,Genomes,Hastings Reserve,36.38798609,-121.550234,A. americanus,Bradyrhizobium,24
19AcS397Asp.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS398sp.3.1,A49,19AcS398sp.3.1,L27,11LoS7_2,Z1,Genomes,Sedgwick,34.7397333,-120.0264667,A. strigosus,Bradyrhizobium,24
19AcS312.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcS312.3.1,D38,19AcS312.3.1,A43,19AcS312.3.1,L13,11LoS7_2,Z1,Genomes,Santa Cruz Island,34.00609,-119.70272,A. strigosus,Bradyrhizobium,24
19AcS308.2.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS34_4,I5,11LoS6_3,G1,12LoS5_2,D4,05LoS16_9,A14,05LoS22_6,L4,11LoS6_3,Z3,Genomes,Santa Cruz Island,34.00555,-119.70445,A. strigosus,Bradyrhizobium,24
13LoS98_3,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS23_10,I3,11LoS6_3,G1,13LoS98_3,D48,12LoS18_1,A9,11LoS6_3,L22,11LoS7_2,Z1,Genomes,Whitewater Preserve,33.97972,-116.6547,A. strigosus,Bradyrhizobium,24
19AcGLB232.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcGLB232.1.1,D49,19AcGLB232.1.1,A55,19AcGLB232.1.1,L34,19AcGLB232.1.1,Z19,Genomes,Sedgwick,34.71076903,-120.039777,A. glaber,Bradyrhizobium,24
11LoS28_6,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS28_6,D50,11LoS28_6,A56,05LoS16_8,L1,11LoS28_6,Z20,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
19AcS217.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,Sedgwick,34.69150499,-120.049334,A. strigosus,Bradyrhizobium,24
11LoS20_1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS34_4,I5,11LoS6_3,G1,12LoS8_2,D51,12LoS18_1,A9,05LoS16_12,L7,11LoS7_2,Z1,Hollowell,San Dimas Canyon,34.134217,-117.780017,A. strigosus,Bradyrhizobium,
19AcS11.2.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,11LoS34_5,D8,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,Griffith Park,34.121967,-118.30892,A. strigosus,Bradyrhizobium,24
19AcAm208.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,19AcPa284.3.1,D19,19AcAm208.3.1,A57,19AcAm208.3.1,L35,19AcAm43.3.1,Z7,Genomes,Sedgwick,34.68863703,-120.045265,A. americanus,Bradyrhizobium,24
19AcARN282.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcARN282.3.1,D9,19AcARN282.3.1,A21,05LoS16_8,L1,11LoS6_3,Z3,Genomes,Santa Cruz Island,34.01447,-119.69021,A. argophyllus var. niveus,Bradyrhizobium,24
19AcAm208.2.1,19AcHe316.1.1,K1,05LoS20_2,R5,11LoS23_10,I3,11LoS6_3,G1,19AcAm42.7.1,D13,19AcAm40.6.1,A11,19AcAm208.3.1,L35,19AcAm43.3.1,Z7,Genomes,Sedgwick,34.68863703,-120.045265,A. americanus,Bradyrhizobium,24
19AcS179.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,19AcS179.1.1,I15,11LoS6_3,G1,19AcS179.1.1,D14,19AcS179.1.1,A58,19AcS179.1.1,L36,19AcPa151A.1.1,Z5,Genomes,Big Creek Reserve,36.06599797,-121.561287,A. strigosus,Bradyrhizobium,24
19AcPa146.2.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,19AcS179.1.1,D14,19AcPa146.2.1,A27,19AcS179.1.1,L36,19AcPa151A.1.1,Z5,Genomes,Hastings Reserve,36.37865704,-121.563095,A. parviflorus,Bradyrhizobium,24
19AcPa174.1.2,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,19AcS179.1.1,I15,11LoS6_3,G1,19AcS179.1.1,D14,19AcS179.1.1,A58,19AcS179.1.1,L36,19AcPa151A.1.1,Z5,Genomes,Big Creek Reserve,36.06608396,-121.560984,A. parviflorus,Bradyrhizobium,24
19AcAm128.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,19AcAm128.1.1,I16,11LoS6_3,G1,19AcAm42.7.1,D13,19AcAM290.1.1,A12,19AcAm129.3.1,L10,19AcAm43.3.1,Z7,Genomes,Hastings Reserve,36.38798609,-121.550234,A. americanus,Bradyrhizobium,24
11LoS21_3,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcS5.2.1,D3,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,San Dimas Canyon,34.134217,-117.780017,A. strigosus,Bradyrhizobium,
09LoS42_2,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS23_10,I3,11LoS6_3,G1,12LoS5_2,D4,12LoS18_1,A9,05LoS16_12,L7,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.805167,-117.257533,A. strigosus,Bradyrhizobium,
19AcPa283.1.1,19AcHe316.1.1,K1,05LoS13_4,R2,19AcPa283.1.1,I10,11LoS6_3,G1,19AcPa285.2.1,D52,19AcPa285.2.1,A4,19AcPa285.2.1,L37,19AcPa285.2.1,Z21,Genomes,Santa Cruz Island,33.99677,-119.72772,A. parviflorus,Bradyrhizobium,24
19AcD266.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcD266.1.1,Z22,Genomes,Santa Cruz Island,34.01141,-119.68967,A. dendroideus var. dendroideus,Bradyrhizobium,24
19AcAm184.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcPa178.2.1,D6,19AcAm184.3.1,A59,19AcAm188A.1.1,L6,19AcAm184.3.1,Z23,Genomes,Big Creek Reserve,36.06018201,-121.554331,A. parviflorus,Bradyrhizobium,24
19AcAm40.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcAm43.3.1,D15,19AcAM290.1.1,A12,19AcAm129.3.1,L10,19AcAm43.3.1,Z7,Genomes,McLaughlin Reserve,38.859937,-122.408996,A. americanus,Bradyrhizobium,24
19AcS183.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,Big Creek Reserve,36.06592999,-121.561143,A. strigosus,Bradyrhizobium,24
19AcS11.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,11LoS34_5,D8,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,Griffith Park,34.121967,-118.30892,A. strigosus,Bradyrhizobium,24
19AcD271.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,12LoS5_1,I4,11LoS6_3,G1,19AcARN282.3.1,D9,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,Santa Cruz Island,34.01141,-119.68967,A. dendroideus var. dendroideus,Bradyrhizobium,24
09LoS36_1,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,12LoS18_1,A9,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,UC Riverside Hills,33.965933,-117.323,A. strigosus,Bradyrhizobium,
19AcS123.1.1,19AcHe316.1.1,K1,05LoS20_2,R5,11LoS24_1,I1,11LoS6_3,G1,05LoS16_2,D53,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,Hastings Reserve,36.38952803,-121.551244,A. strigosus,Bradyrhizobium,24
19AcS313A.2.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS313A.2.1,A60,19AcS313A.2.1,L15,11LoS18_1,Z11,Genomes,San Dimas Canyon,34.16377097,-117.769158,A. strigosus,Bradyrhizobium,24
19AcAm185.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS311.1.1,A50,19AcS313A.2.1,L15,11LoS18_1,Z11,Genomes,Big Creek Reserve,36.06018201,-121.554331,A. parviflorus,Bradyrhizobium,24
11LoS17_5,19AcHe316.1.1,K1,05LoS25_7,R26,11LoS24_1,I1,11LoS6_3,G1,11LoS17_2,D41,11LoS17_5,A20,19AcS312.3.1,L13,11LoS7_2,Z1,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS17_6,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,11LoS17_4,D42,19AcS398Asp.1.1,A2,11LoS17_2,L24,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS17_7,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS17_7,D54,12LoS18_1,A9,11LoS17_7,L38,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS17_8,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS17_8,G2,11LoS17_2,D41,19AcS398Asp.1.1,A2,11LoS17_2,L24,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS17_9,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcS5.2.1,D3,11LoS17_9,A61,05LoS16_8,L1,11LoS17_9,Z24,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS17_11,19AcHe316.1.1,K1,11LoS17_11,R27,11LoS24_1,I1,11LoS6_3,G1,11LoS17_2,D41,19AcS398Asp.1.1,A2,11LoS17_2,L24,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS18_1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS18_1,D55,11LoS18_1,A62,11LoS18_1,L39,11LoS18_1,Z11,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS18_2,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,11LoS20_3,D18,11LoS18_2,A63,11LoS18_2,L40,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS18_3,19AcHe316.1.1,K1,11LoS18_3,R28,11LoS34_4,I5,11LoS6_3,G1,12LoS15_2,D12,12LoS18_1,A9,05LoS20_8,L8,11LoS7_2,Z1,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS18_4,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,12LoS15_2,D12,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS18_6,19AcHe316.1.1,K1,11LoS21_1,R29,11LoS24_1,I1,11LoS6_3,G1,11LoS17_7,D54,12LoS18_1,A9,11LoS17_7,L38,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS18_7,19AcHe316.1.1,K1,11LoS21_1,R29,11LoS23_10,I3,11LoS6_3,G1,11LoS18_7,D56,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
11LoS19_1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS19_1,I17,11LoS6_3,G1,19AcARN282.3.1,D9,11LoS19_1,A64,19AcS312.3.1,L13,11LoS7_2,Z1,Hollowell,San Dimas Canyon,34.134217,-117.780017,A. strigosus,Bradyrhizobium,
