Strain,X,dnaK_similarity,dnaK_coded,recA_similarity,recA_coded,ITS_similarity,ITS_coded,glnII_similarity,glnII_coded,nifD_similarity,nifD_coded,nodA_similarity,nodA_coded,nodL_similarity,nodL_coded,nodZ_similarity,nodZ_coded,Source,Site,Latitude,Longitude,Host,Rhizobial_lineage,ANI_species,CHR_haplotype,SYM_haplotype,Genome_haplotype,CHR.clade
19AcPa174.1.2,166,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,19AcS179.1.1,I15,11LoS6_3,G1,19AcS179.1.1,D14,19AcS179.1.1,A58,19AcS179.1.1,L36,19AcPa151A.1.1,Z5,Genomes,BCR,36.06608396,-121.560984,A. parviflorus,Bradyrhizobium,24,K1_R1_I15_G1,D14_A58_L36_Z5,K1_R1_I15_G1_D14_A58_L36_Z5,B. canariense
19AcPa174.2.1,274,09LoS43_2,K2,05LoS16_2,R23,19AcPa174.2.1,I24,19AcPa174.2.1,G8,19AcPa174.3.1,D63,19AcPa174.3.1,A82,19AcPa174.3.1,L52,19AcPa174.3.1,Z34,Genomes,BCR,36.06608396,-121.560984,A. parviflorus,Bradyrhizobium,21,K2_R23_I24_G8,D63_A82_L52_Z34,K2_R23_I24_G8_D63_A82_L52_Z34,B. canariense
19AcPa174.3.1,275,09LoS43_2,K2,05LoS16_2,R23,19AcPa174.2.1,I24,19AcPa174.2.1,G8,19AcPa174.3.1,D63,19AcPa174.3.1,A82,19AcPa174.3.1,L52,19AcPa174.3.1,Z34,Genomes,BCR,36.06608396,-121.560984,A. parviflorus,Bradyrhizobium,21,K2_R23_I24_G8,D63_A82_L52_Z34,K2_R23_I24_G8_D63_A82_L52_Z34,B. canariense
19AcPa174A.1.2,427,05LoS14_1,K21,05LoS16_2,R23,19AcPa174A.2.1,I56,19AcPa174A.2.1,G30,19AcPa178.2.1,D6,19AcPa285.2.1,A4,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,BCR,36.06608396,-121.560984,A. parviflorus,Bradyrhizobium,21,K21_R23_I56_G30,D6_A4_L6_Z5,K21_R23_I56_G30_D6_A4_L6_Z5,B. canariense
19AcPa174A.2.1,423,05LoS14_1,K21,05LoS16_2,R23,19AcPa174A.2.1,I56,19AcPa174A.2.1,G30,19AcPa178.2.1,D6,19AcPa285.2.1,A4,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,BCR,36.06608396,-121.560984,A. parviflorus,Bradyrhizobium,21,K21_R23_I56_G30,D6_A4_L6_Z5,K21_R23_I56_G30_D6_A4_L6_Z5,B. canariense
19AcPa174A.3.1,430,05LoS14_1,K21,05LoS16_2,R23,19AcPa174A.2.1,I56,19AcPa174A.2.1,G30,19AcPa178.2.1,D6,19AcPa285.2.1,A4,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,BCR,36.06608396,-121.560984,A. parviflorus,Bradyrhizobium,21,K21_R23_I56_G30,D6_A4_L6_Z5,K21_R23_I56_G30_D6_A4_L6_Z5,B. canariense
19AcPa177.1.1,491,19AcPa177.1.1,K52,19AcPa177.1.1,R98,19AcPa177.1.1,I84,19AcPa173.2.1,G54,19AcPa177.1.1,D115,19AcPa177.1.1,A141,19AcPa177.1.1,L104,19AcPa177.1.1,Z84,Genomes,BCR,36.05631,-121.54202,A. parviflorus,Bradyrhizobium,26,K52_R98_I84_G54,D115_A141_L104_Z84,K52_R98_I84_G54_D115_A141_L104_Z84,B. retamae
19AcPa177.2.2,32,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcPa177.2.2,D24,19AcPa177.2.2,A22,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,BCR,36.05631,-121.54202,A. parviflorus,Bradyrhizobium,24,K1_R1_I1_G1,D24_A22_L6_Z5,K1_R1_I1_G1_D24_A22_L6_Z5,B. canariense
19AcPa178.1.1,467,19AcAm184.2.1,K39,05LoS16_2,R23,19AcAm184.2.1,I71,19AcPa174.2.1,G8,19AcPa178.2.1,D6,19AcPa285.2.1,A4,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,BCR,36.05631,-121.54202,A. parviflorus,Bradyrhizobium,21,K39_R23_I71_G8,D6_A4_L6_Z5,K39_R23_I71_G8_D6_A4_L6_Z5,B. canariense
19AcPa178.2.1,439,19AcPa178.2.1,K25,19AcS397Asp.3.1,R1,19AcS179.1.1,I15,11LoS6_3,G1,19AcPa178.2.1,D6,19AcPa178.2.1,A13,19AcPa178.2.1,L83,19AcPa151A.1.1,Z5,Genomes,BCR,36.05631,-121.54202,A. parviflorus,Bradyrhizobium,24,K25_R1_I15_G1,D6_A13_L83_Z5,K25_R1_I15_G1_D6_A13_L83_Z5,B. canariense
19AcPa283.1.1,170,19AcHe316.1.1,K1,05LoS13_4,R2,19AcPa283.1.1,I10,11LoS6_3,G1,19AcPa285.2.1,D52,19AcPa285.2.1,A4,19AcPa285.2.1,L37,19AcPa285.2.1,Z21,Genomes,SCI,33.99677,-119.72772,A. parviflorus,Bradyrhizobium,24,K1_R2_I10_G1,D52_A4_L37_Z21,K1_R2_I10_G1_D52_A4_L37_Z21,B. canariense
19AcPa283.2.1,17,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS23_10,I3,11LoS6_3,G1,19AcS179.1.1,D14,19AcPa285.2.1,A4,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,SCI,33.99677,-119.72772,A. parviflorus,Bradyrhizobium,24,K1_R2_I3_G1,D14_A4_L6_Z5,K1_R2_I3_G1_D14_A4_L6_Z5,B. canariense
19AcPa284.1.2,249,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS23_10,I3,11LoS6_3,G1,19AcPa284.1.2,D59,19AcPa284.1.2,A77,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,SCI,33.9968,-119.72772,A. parviflorus,Bradyrhizobium,24,K1_R2_I3_G1,D59_A77_L6_Z5,K1_R2_I3_G1_D59_A77_L6_Z5,B. canariense
19AcPa284.3.1,26,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS34_4,I5,11LoS6_3,G1,19AcPa284.3.1,D19,19AcPa284.3.1,A18,19AcPa284.3.1,L14,19AcPa284.3.1,Z10,Genomes,SCI,33.9968,-119.72772,A. parviflorus,Bradyrhizobium,24,K1_R1_I5_G1,D19_A18_L14_Z10,K1_R1_I5_G1_D19_A18_L14_Z10,B. canariense
19AcPa285.1.1,237,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,19AcPa285.1.1,I21,11LoS6_3,G1,19AcPa285.1.1,D58,19AcPa285.1.1,A74,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,SCI,33.99681,-119.72772,A. parviflorus,Bradyrhizobium,24,K1_R1_I21_G1,D58_A74_L6_Z5,K1_R1_I21_G1_D58_A74_L6_Z5,B. canariense
19AcPa285.2.1,251,19AcHe316.1.1,K1,05LoS13_4,R2,19AcPa283.1.1,I10,11LoS6_3,G1,19AcPa285.2.1,D52,19AcPa285.2.1,A4,19AcPa285.2.1,L37,19AcPa285.2.1,Z21,Genomes,SCI,33.99681,-119.72772,A. parviflorus,Bradyrhizobium,24,K1_R2_I10_G1,D52_A4_L37_Z21,K1_R2_I10_G1_D52_A4_L37_Z21,B. canariense
19AcS11.1.1,175,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,11LoS34_5,D8,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,GP,34.121967,-118.30892,A. strigosus,Bradyrhizobium,24,K1_R1_I3_G1,D8_A23_L5_Z3,K1_R1_I3_G1_D8_A23_L5_Z3,B. canariense
19AcS11.2.1,160,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,11LoS34_5,D8,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,GP,34.121967,-118.30892,A. strigosus,Bradyrhizobium,24,K1_R1_I3_G1,D8_A23_L5_Z3,K1_R1_I3_G1_D8_A23_L5_Z3,B. canariense
19AcS121.1.1,137,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS15_2,D12,19AcS307.1.1,A23,05LoS22_6,L4,11LoS7_3,Z16,Genomes,HR,36.38952803,-121.551242,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D12_A23_L4_Z16,K1_R1_I1_G1_D12_A23_L4_Z16,B. canariense
19AcS123.1.1,178,19AcHe316.1.1,K1,05LoS20_2,R5,11LoS24_1,I1,11LoS6_3,G1,05LoS16_2,D53,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,HR,36.38952803,-121.551244,A. strigosus,Bradyrhizobium,24,K1_R5_I1_G1,D53_A23_L5_Z3,K1_R5_I1_G1_D53_A23_L5_Z3,B. canariense
19AcS136.2.1,241,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS20_3,D18,12LoS18_1,A9,05LoS16_8,L1,19AcS136.2.1,Z29,Genomes,HR,36.38949702,-121.551226,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D18_A9_L1_Z29,K1_R1_I1_G1_D18_A9_L1_Z29,B. canariense
19AcS142.2.1,136,19AcHe316.1.1,K1,05LoS20_2,R5,19AcS142.2.1,I13,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Genomes,HR,36.38950003,-121.551218,A. strigosus,Bradyrhizobium,24,K1_R5_I13_G1,D16_A14_L1_Z6,K1_R5_I13_G1_D16_A14_L1_Z6,B. canariense
19AcS142.3.1,248,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,HR,36.38950003,-121.551218,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D8_A23_L5_Z3,K1_R1_I1_G1_D8_A23_L5_Z3,B. canariense
19AcS179.1.1,164,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,19AcS179.1.1,I15,11LoS6_3,G1,19AcS179.1.1,D14,19AcS179.1.1,A58,19AcS179.1.1,L36,19AcPa151A.1.1,Z5,Genomes,BCR,36.06599797,-121.561287,A. strigosus,Bradyrhizobium,24,K1_R1_I15_G1,D14_A58_L36_Z5,K1_R1_I15_G1_D14_A58_L36_Z5,B. canariense
19AcS179.2.1,245,19AcHe316.1.1,K1,05LoS7_9,R3,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,12LoS18_1,A9,05LoS16_8,L1,19AcS182.1.1,Z18,Genomes,BCR,36.06599797,-121.561287,A. strigosus,Bradyrhizobium,24,K1_R3_I1_G1,D8_A9_L1_Z18,K1_R3_I1_G1_D8_A9_L1_Z18,B. canariense
19AcS180A.1.1,150,19AcHe316.1.1,K1,05LoS7_9,R3,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,12LoS18_1,A9,05LoS16_8,L1,19AcS182.1.1,Z18,Genomes,BCR,36.06599797,-121.561287,A. strigosus,Bradyrhizobium,24,K1_R3_I1_G1,D8_A9_L1_Z18,K1_R3_I1_G1_D8_A9_L1_Z18,B. canariense
19AcS181.1.1,38,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,19AcS181.3.1,A26,05LoS16_12,L7,11LoS7_2,Z1,Genomes,BCR,36.06592999,-121.561143,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D8_A26_L7_Z1,K1_R1_I1_G1_D8_A26_L7_Z1,B. canariense
19AcS181.3.1,130,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,19AcS181.3.1,A26,05LoS16_12,L7,11LoS7_2,Z1,Genomes,BCR,36.06592999,-121.561143,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D8_A26_L7_Z1,K1_R1_I1_G1_D8_A26_L7_Z1,B. canariense
19AcS182.1.1,133,19AcHe316.1.1,K1,05LoS7_9,R3,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,12LoS18_1,A9,05LoS16_8,L1,19AcS182.1.1,Z18,Genomes,BCR,36.06592999,-121.561143,A. strigosus,Bradyrhizobium,24,K1_R3_I1_G1,D8_A9_L1_Z18,K1_R3_I1_G1_D8_A9_L1_Z18,B. canariense
19AcS183.2.1,131,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,BCR,36.06592999,-121.561143,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D4_A23_L5_Z3,K1_R1_I1_G1_D4_A23_L5_Z3,B. canariense
19AcS183.3.1,174,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,BCR,36.06592999,-121.561143,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D4_A23_L5_Z3,K1_R1_I1_G1_D4_A23_L5_Z3,B. canariense
19AcS213.4.1,500,19AcS213.4.1,K57,19AcS213.4.1,R102,19AcS213.4.1,I89,19AcS213.4.1,G60,19AcS213.4.1,D124,19AcS213.4.1,A146,19AcS213.4.1,L111,19AcS213.4.1,Z90,Genomes,SR,34.69150499,-120.049334,A. strigosus,Bradyrhizobium,60,K57_R102_I89_G60,D124_A146_L111_Z90,K57_R102_I89_G60_D124_A146_L111_Z90,B. japonicum
19AcS217.3.1,158,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,SR,34.69150499,-120.049334,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D4_A23_L5_Z3,K1_R1_I1_G1_D4_A23_L5_Z3,B. canariense
19AcS295.1.1,379,11LoS6_2,K14,19AcS295.1.1,R65,19AcS295.1.1,I51,11LoS6_2,G27,11LoS22_3,D95,19AcS295.1.1,A117,11LoS6_2,L78,19AcS295.1.1,Z65,Genomes,SCI,33.99984,-119.71508,A. strigosus,Bradyrhizobium,15,K14_R65_I51_G27,D95_A117_L78_Z65,K14_R65_I51_G27_D95_A117_L78_Z65,B. japonicum
19AcS295.2.1,239,19AcHe316.1.1,K1,19AcS295.2.1,R41,11LoS24_1,I1,11LoS6_3,G1,19AcARN282.3.1,D9,12LoS18_1,A9,05LoS16_8,L1,11LoS7_2,Z1,Genomes,SCI,33.99984,-119.71508,A. strigosus,Bradyrhizobium,24,K1_R41_I1_G1,D9_A9_L1_Z1,K1_R41_I1_G1_D9_A9_L1_Z1,B. canariense
19AcS295.3.1,482,19AcS295.3.1,K46,19AcS295.3.1,R91,11LoS20_7,I68,19AcS295.3.1,G16,12LoS1_4,D65,11LoS19_4,A86,12LoS20_5,L53,11LoS19_4,Z35,Genomes,SCI,33.99984,-119.71508,A. strigosus,Bradyrhizobium,30,K46_R91_I68_G16,D65_A86_L53_Z35,K46_R91_I68_G16_D65_A86_L53_Z35,B. yuanmingense
19AcS307.1.1,145,19AcHe316.1.1,K1,05LoS20_2,R5,11LoS24_1,I1,11LoS6_3,G1,12LoS15_2,D12,19AcS307.1.1,A23,05LoS22_6,L4,11LoS7_3,Z16,Genomes,SCI,34.00555,-119.70445,A. strigosus,Bradyrhizobium,24,K1_R5_I1_G1,D12_A23_L4_Z16,K1_R5_I1_G1_D12_A23_L4_Z16,B. canariense
19AcS307.2.1,5,19AcHe316.1.1,K1,05LoS7_9,R3,11LoS24_1,I1,11LoS6_3,G1,19AcS307.2.1,D5,19AcS307.2.1,A3,19AcS5.1.1,L5,11LoS15_2,Z4,Genomes,SCI,34.00555,-119.70445,A. strigosus,Bradyrhizobium,24,K1_R3_I1_G1,D5_A3_L5_Z4,K1_R3_I1_G1_D5_A3_L5_Z4,B. canariense
19AcS308.1.1,341,11LoS31_3,K7,19AcARN282.1.1,R59,13LoS14_2,I39,09LoS36_4,G20,19AcS308.1.1,D89,19AcS308.1.1,A105,19AcS308.1.1,L70,CW17,Z54,Genomes,SCI,34.00555,-119.70445,A. strigosus,Bradyrhizobium,49,K7_R59_I39_G20,D89_A105_L70_Z54,K7_R59_I39_G20_D89_A105_L70_Z54,B. sp. novel I
19AcS308.2.1,154,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS34_4,I5,11LoS6_3,G1,12LoS5_2,D4,05LoS16_9,A14,05LoS22_6,L4,11LoS6_3,Z3,Genomes,SCI,34.00555,-119.70445,A. strigosus,Bradyrhizobium,24,K1_R1_I5_G1,D4_A14_L4_Z3,K1_R1_I5_G1_D4_A14_L4_Z3,B. canariense
19AcS309.1.1,2,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,19AcS309.1.1,D2,19AcGLB10.1.1,A1,19AcS309.1.1,L2,19AcS309.1.1,Z2,Genomes,SCI,34.00555,-119.70445,A. strigosus,Bradyrhizobium,24,K1_R2_I1_G1,D2_A1_L2_Z2,K1_R2_I1_G1_D2_A1_L2_Z2,B. canariense
19AcS311.1.1,135,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,09LoS40_10,D7,19AcS311.1.1,A50,19AcS311.1.1,L28,11LoS18_1,Z11,Genomes,SCI,34.00609,-119.70272,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D7_A50_L28_Z11,K1_R1_I1_G1_D7_A50_L28_Z11,B. canariense
19AcS312.2.1,10,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcARN282.3.1,D9,19AcS312.2.1,A6,05LoS16_8,L1,11LoS6_3,Z3,Genomes,SCI,34.00609,-119.70272,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D9_A6_L1_Z3,K1_R1_I1_G1_D9_A6_L1_Z3,B. canariense
19AcS312.3.1,153,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcS312.3.1,D38,19AcS312.3.1,A43,19AcS312.3.1,L13,11LoS7_2,Z1,Genomes,SCI,34.00609,-119.70272,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D38_A43_L13_Z1,K1_R1_I1_G1_D38_A43_L13_Z1,B. canariense
19AcS313A.1.1,28,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,09LoS36_2,D21,12LoS18_1,A9,19AcS313A.2.1,L15,11LoS7_2,Z1,Genomes,SDM,34.16377097,-117.769158,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D21_A9_L15_Z1,K1_R1_I1_G1_D21_A9_L15_Z1,B. canariense
19AcS313A.2.1,179,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS313A.2.1,A60,19AcS313A.2.1,L15,11LoS18_1,Z11,Genomes,SDM,34.16377097,-117.769158,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D4_A60_L15_Z11,K1_R1_I1_G1_D4_A60_L15_Z11,B. canariense
19AcS313B.1.1,8,19AcHe316.1.1,K1,05LoS13_4,R2,12LoS5_1,I4,11LoS6_3,G1,11LoS34_5,D8,19AcGLB10.1.1,A1,05LoS16_12,L7,11LoS6_3,Z3,Genomes,SDM,34.16377097,-117.769158,A. strigosus,Bradyrhizobium,24,K1_R2_I4_G1,D8_A1_L7_Z3,K1_R2_I4_G1_D8_A1_L7_Z3,B. canariense
19AcS397Asp.3.1,152,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS398sp.3.1,A49,19AcS398sp.3.1,L27,11LoS7_2,Z1,Genomes,SR,34.7397333,-120.0264667,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D4_A49_L27_Z1,K1_R1_I1_G1_D4_A49_L27_Z1,B. canariense
19AcS398Asp.1.1,4,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,19AcS398Asp.1.1,I2,11LoS6_3,G1,12LoS5_2,D4,19AcS398Asp.1.1,A2,05LoS22_6,L4,11LoS6_3,Z3,Genomes,SR,34.7394333,-120.0268833,A. strigosus,Bradyrhizobium,24,K1_R1_I2_G1,D4_A2_L4_Z3,K1_R1_I2_G1_D4_A2_L4_Z3,B. canariense
19AcS398Asp.2.1,246,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcARN282.3.1,D9,19AcS398Asp.2.1,A76,05LoS16_7,L11,11LoS6_3,Z3,Genomes,SR,34.7394333,-120.0268833,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D9_A76_L11_Z3,K1_R1_I1_G1_D9_A76_L11_Z3,B. canariense
19AcS398sp.3.1,254,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS398sp.3.1,A49,19AcS398sp.3.1,L27,11LoS7_2,Z1,Genomes,SR,34.7394333,-120.0268833,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D4_A49_L27_Z1,K1_R1_I1_G1_D4_A49_L27_Z1,B. canariense
19AcS5.1.1,376,12LoS2_1,K12,19AcGLB10.1.1,R64,12LoS2_1,I48,13LoS15_1,G26,12LoS5_1,D60,19AcS5.1.1,A115,19AcS5.1.1,L5,11LoS15_2,Z4,Genomes,GP,34.121964,-118.30892,A. strigosus,Bradyrhizobium,32,K12_R64_I48_G26,D60_A115_L5_Z4,K12_R64_I48_G26_D60_A115_L5_Z4,B. yuanmingense
19AcS5.2.1,140,19AcHe316.1.1,K1,05LoS3_3,R4,11LoS24_1,I1,11LoS6_3,G1,19AcS5.2.1,D3,19AcS5.2.1,A52,19AcS5.2.1,L30,11LoS7_2,Z1,Genomes,GP,34.121964,-118.30892,A. strigosus,Bradyrhizobium,24,K1_R4_I1_G1,D3_A52_L30_Z1,K1_R4_I1_G1_D3_A52_L30_Z1,B. canariense
19AcS5.6.1,23,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,11LoS20_3,D18,11LoS17_3,A16,19AcS5.6.1,L12,11LoS7_2,Z1,Genomes,GP,34.121964,-118.30892,A. strigosus,Bradyrhizobium,24,K1_R2_I1_G1,D18_A16_L12_Z1,K1_R2_I1_G1_D18_A16_L12_Z1,B. canariense
23,20,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Genomes,BMR,38.3193,-123.063667,A. strigosus,Bradyrhizobium,24,K1_R1_I6_G1,D16_A14_L1_Z6,K1_R1_I6_G1_D16_A14_L1_Z6,B. canariense
24,425,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Genomes,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,21,K21_R23_I55_G4,D53_A9_L7_Z3,K21_R23_I55_G4_D53_A9_L7_Z3,B. canariense
38B,464,05LoS3_3,K37,05LoS3_4,R85,05LoS3_3,I70,05LoS3_4,G42,12LoS5_2,D4,05LoS3_4,A130,38B,L95,38B,Z75,Genomes,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,26,K37_R85_I70_G42,D4_A130_L95_Z75,K37_R85_I70_G42_D4_A130_L95_Z75,B. retamae
CW10,256,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS23_10,I3,11LoS6_3,G1,12LoS15_2,D12,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Genomes,CLA,34.11055,-117.708983,A. strigosus,Bradyrhizobium,24,K1_R2_I3_G1,D12_A1_L1_Z1,K1_R2_I3_G1_D12_A1_L1_Z1,B. canariense
CW11,440,CW11,K26,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,12LoS15_2,D12,11LoS17_3,A16,CW11,L20,11LoS7_2,Z1,Genomes,CLA,34.11055,-117.708983,A. strigosus,Bradyrhizobium,24,K26_R1_I3_G1,D12_A16_L20_Z1,K26_R1_I3_G1_D12_A16_L20_Z1,B. canariense
CW12,345,11LoS31_3,K7,19AcARN282.1.1,R59,13LoS14_2,I39,09LoS36_4,G20,CW17,D87,12LoS21_4,A89,CW17,L66,CW17,Z54,Genomes,CLA,34.11055,-117.708983,A. strigosus,Bradyrhizobium,49,K7_R59_I39_G20,D87_A89_L66_Z54,K7_R59_I39_G20_D87_A89_L66_Z54,B. sp. novel I
CW17,355,11LoS31_3,K7,19AcARN282.1.1,R59,13LoS14_2,I39,09LoS36_4,G20,CW17,D87,12LoS21_4,A89,CW17,L66,CW17,Z54,Genomes,YUC,34.15315,-116.475117,A. strigosus,Bradyrhizobium,49,K7_R59_I39_G20,D87_A89_L66_Z54,K7_R59_I39_G20_D87_A89_L66_Z54,B. sp. novel I
CW4,41,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,19AcGLB10.1.1,A1,05LoS22_6,L4,11LoS7_2,Z1,Genomes,UCR,33.965933,-117.323,A. strigosus,Bradyrhizobium,24,K1_R2_I1_G1,D8_A1_L4_Z1,K1_R2_I1_G1_D8_A1_L4_Z1,B. canariense
CW7,143,19AcHe316.1.1,K1,05LoS3_3,R4,11LoS24_1,I1,11LoS6_3,G1,CW7,D46,12LoS18_1,A9,CW7,L32,11LoS7_2,Z1,Genomes,CLA,34.11055,-117.708983,A. strigosus,Bradyrhizobium,24,K1_R4_I1_G1,D46_A9_L32_Z1,K1_R4_I1_G1_D46_A9_L32_Z1,B. canariense
CW9,15,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,CW9,A10,05LoS16_8,L1,11LoS7_2,Z1,Genomes,CLA,34.11055,-117.708983,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D8_A10_L1_Z1,K1_R1_I1_G1_D8_A10_L1_Z1,B. canariense
