Strain,X,dnaK_similarity,dnaK_coded,recA_similarity,recA_coded,ITS_similarity,ITS_coded,glnII_similarity,glnII_coded,nifD_similarity,nifD_coded,nodA_similarity,nodA_coded,nodL_similarity,nodL_coded,nodZ_similarity,nodZ_coded,Source,Site,Latitude,Longitude,Host,Rhizobial_lineage,ANI_species,CHR_haplotype,SYM_haplotype,Genome_haplotype,CHR.clade
19AcAm43.1.1,471,19AcAm42.2.1,K40,19AcAm42.2.1,R86,19AcAm43.1.1,I73,19AcAm41.2.1,G45,19AcAm43.1.1,D114,19AcAm43.1.1,A132,19AcAm43.1.1,L97,19AcPa151A.1.1,Z5,Genomes,MLR,38.85984899,-122.409001,A. americanus,Bradyrhizobium,25,K40_R86_I73_G45,D114_A132_L97_Z5,K40_R86_I73_G45_D114_A132_L97_Z5,B. canariense
19AcAm43.3.1,18,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcAm43.3.1,D15,19AcAM290.1.1,A12,19AcAm129.3.1,L10,19AcAm43.3.1,Z7,Genomes,MLR,38.85984899,-122.409001,A. americanus,Bradyrhizobium,24,K1_R1_I1_G1,D15_A12_L10_Z7,K1_R1_I1_G1_D15_A12_L10_Z7,B. canariense
19AcARN268.1.1,3,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcS5.2.1,D3,19AcS398Asp.1.1,A2,19AcARN268.1.1,L3,11LoS6_3,Z3,Genomes,SCI,34.01141,-119.68967,A. argophyllus var. niveus,Bradyrhizobium,24,K1_R1_I1_G1,D3_A2_L3_Z3,K1_R1_I1_G1_D3_A2_L3_Z3,B. canariense
19AcARN268.3.1,37,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,12LoS5_1,I4,11LoS6_3,G1,12LoS5_2,D4,19AcARN268.3.1,A25,19AcS313A.2.1,L15,11LoS18_1,Z11,Genomes,SCI,34.01141,-119.68967,A. argophyllus var. niveus,Bradyrhizobium,24,K1_R1_I4_G1,D4_A25_L15_Z11,K1_R1_I4_G1_D4_A25_L15_Z11,B. canariense
19AcARN282.1.1,338,11LoS31_3,K7,19AcARN282.1.1,R59,13LoS14_2,I39,09LoS36_4,G20,19AcS308.1.1,D89,19AcARN282.1.1,A102,19AcARN282.1.1,L68,19AcARN282.1.1,Z55,Genomes,SCI,34.01447,-119.69021,A. argophyllus var. niveus,Bradyrhizobium,49,K7_R59_I39_G20,D89_A102_L68_Z55,K7_R59_I39_G20_D89_A102_L68_Z55,B. sp. novel I
19AcARN282.2.1,43,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,12LoS5_1,I4,11LoS6_3,G1,12LoS15_2,D12,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,SCI,34.01447,-119.69021,A. argophyllus var. niveus,Bradyrhizobium,24,K1_R1_I4_G1,D12_A23_L5_Z3,K1_R1_I4_G1_D12_A23_L5_Z3,B. canariense
19AcARN282.3.1,162,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcARN282.3.1,D9,19AcARN282.3.1,A21,05LoS16_8,L1,11LoS6_3,Z3,Genomes,SCI,34.01447,-119.69021,A. argophyllus var. niveus,Bradyrhizobium,24,K1_R1_I1_G1,D9_A21_L1_Z3,K1_R1_I1_G1_D9_A21_L1_Z3,B. canariense
19AcARN300.1.1,294,11LoS22_4,K3,19AcARN300.1.1,R50,12LoS1_1,I28,11LoS19_4,G14,19AcGLB197.1.1,D70,12LoS21_4,A89,19AcARN300.1.1,L59,19AcD280.1.1,Z39,Genomes,SCI,33.99979,-119.71513,A. argophyllus var. niveus,Bradyrhizobium,31,K3_R50_I28_G14,D70_A89_L59_Z39,K3_R50_I28_G14_D70_A89_L59_Z39,B. yuanmingense
19AcARN300.2.1,29,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,11LoS17_5,A20,19AcS312.3.1,L13,11LoS7_2,Z1,Genomes,SCI,33.99979,-119.71513,A. argophyllus var. niveus,Bradyrhizobium,24,K1_R1_I1_G1,D8_A20_L13_Z1,K1_R1_I1_G1_D8_A20_L13_Z1,B. canariense
19AcARN300.3.1,309,11LoS23_4,K6,19AcD306.1.1,R51,19AcD306.1.1,I33,11LoS11_2,G18,12LoS3_2,D74,12LoS16_1,A94,19AcGR302.5.1,L63,11LoS11_2,Z45,Genomes,SCI,33.99979,-119.71513,A. argophyllus var. niveus,Bradyrhizobium,14,K6_R51_I33_G18,D74_A94_L63_Z45,K6_R51_I33_G18_D74_A94_L63_Z45,B. japonicum
